X,Y
1054,399
1144,404
1185,405
1123,406
998,408
956,409
1265,411
922,420
1348,423
1092,428
838,433
1058,437
1406,442
1033,445
1353,447
1005,450
738,451
979,452
1329,453
1257,457
1286,458
689,458
1180,458
1230,459
941,462
1143,465
1120,468
1551,468
654,469
908,469
1496,470
879,471
857,476
1047,484
568,488
536,493
499,499
738,498
1000,513
656,516
1554,516
406,517
953,519
1365,519
1333,521
1289,522
928,523
1273,524
1023,525
1462,525
1517,526
621,526
1229,529
1205,530
1095,532
1160,533
1124,534
556,536
454,539
871,542
409,547
519,549
837,552
1599,554
353,561
451,566
423,577
404,579
249,580
1520,581
1441,581
1476,581
1400,584
1570,582
1548,585
1635,585
386,586
1368,588
808,590
1287,591
837,593
1088,592
185,593
722,594
1022,593
1053,594
1204,593
899,594
1175,594
332,595
952,597
146,600
682,604
631,610
193,616
555,617
484,621
528,624
149,627
287,630
307,633
335,639
710,641
765,643
669,644
755,645
807,645
849,646
1126,645
1144,646
1188,647
1024,646
1645,646
1435,648
1478,649
1362,648
629,649
947,649
1076,650
1282,649
1316,649
1395,649
595,650
987,650
546,659
161,662
226,667
522,666
1255,667
266,670
281,673
1231,673
1209,674
413,679
352,681
464,685
521,689
544,693
572,694
182,694
635,696
610,696
323,700
663,701
989,703
697,705
1608,704
852,707
1092,705
340,706
874,707
896,707
925,707
1050,708
1143,707
373,708
1167,708
1207,710
1296,710
1544,711
1260,712
1364,712
1452,713
759,714
1499,714
802,714
418,721
457,725
496,737
1554,738
372,740
903,742
533,742
395,743
277,746
953,751
568,753
452,754
602,756
1525,756
327,761
493,765
646,766
1507,766
1167,768
673,772
714,774
1216,775
1247,776
1483,776
1260,777
750,780
1290,779
1339,781
788,782
1313,782
379,784
1381,788
816,789
843,793
870,793
1512,793
570,795
1440,798
921,802
463,806
968,809
1001,811
613,814
519,819
1038,820
1090,825
1115,825
545,826
658,828
1144,828
1378,828
1197,831
1357,836
1229,837
699,838
1261,840
601,845
737,853
766,856
1298,856
641,860
815,868
666,869
1256,873
839,874
685,875
711,879
891,884
921,885
930,886
738,887
1073,890
1110,893
998,894
774,897
1155,905
832,907
856,912
922,919
991,921
1039,927
