X,Y
1188,346
1062,353
940,361
853,371
789,381
896,387
740,388
722,392
1404,399
924,403
673,404
875,404
1169,408
1289,409
1326,411
631,412
1108,416
846,423
541,435
760,436
1035,436
512,438
1482,444
708,449
684,456
996,459
1023,469
1418,470
1383,472
1512,473
1159,475
1080,474
1229,475
1215,476
337,480
310,483
540,490
269,494
236,497
406,498
830,498
381,505
468,506
186,508
146,515
319,515
446,518
297,521
110,524
1561,525
828,529
1121,536
910,537
939,536
367,538
1082,537
218,538
56,539
1220,541
1380,541
241,559
114,559
71,567
33,571
846,583
393,583
779,583
703,587
1022,591
341,591
636,592
1114,593
1281,594
614,595
1235,597
1321,598
1424,601
1553,600
1591,605
140,606
279,622
104,625
394,631
532,633
459,634
486,634
132,636
591,637
901,637
627,642
672,643
966,644
924,646
708,647
1031,647
849,648
766,650
1166,651
1058,651
1143,653
188,653
794,655
1193,655
337,656
1237,657
1270,657
44,660
1320,661
381,661
1294,662
1355,665
68,666
406,666
255,669
1459,670
1482,671
841,672
139,674
1557,674
873,680
467,681
225,683
490,687
898,687
1533,687
300,688
395,691
528,696
962,697
1002,701
430,703
1041,704
1107,707
596,711
635,712
1155,714
477,716
1490,715
1209,716
1178,718
356,718
570,718
488,721
708,727
1329,729
1364,729
1298,730
393,731
1342,733
517,734
1412,738
836,742
878,743
558,747
920,749
440,753
304,754
585,756
375,763
1032,765
501,771
338,773
1118,775
539,782
670,784
681,786
1262,790
567,793
1279,801
729,804
625,808
776,811
828,824
860,825
687,828
714,833
1011,836
972,838
1094,837
1149,844
1122,846
788,853
856,859
1058,859
1000,863
1028,863
979,865
952,866
