X,Y
1215,284
1068,287
963,291
944,299
1319,300
895,304
866,308
1146,309
1113,315
809,319
785,324
1087,323
763,327
1054,328
736,331
1026,331
1001,338
1441,338
976,339
657,346
951,344
646,347
1341,349
1389,349
904,349
1188,350
1306,349
1220,351
1254,350
1280,350
623,352
1146,356
840,360
580,361
1123,361
1514,368
544,369
760,376
1084,376
492,377
458,381
711,382
432,384
353,394
1043,396
326,397
1029,399
618,402
591,403
267,405
1570,407
476,408
573,411
967,412
1099,412
201,413
1423,415
1130,416
434,417
1285,419
1580,418
1166,419
1380,419
527,421
1199,420
1476,420
1510,420
383,425
906,429
1546,431
284,434
885,439
456,440
197,447
145,452
303,462
1617,461
333,463
834,463
782,465
806,466
858,469
157,476
736,476
892,476
918,479
998,479
715,480
690,481
1042,483
1088,482
665,484
1112,485
1198,485
1254,487
634,490
1411,489
1379,492
474,494
582,497
1298,493
1322,494
1456,494
1492,495
505,495
266,497
532,496
1540,497
443,501
1612,503
384,505
336,509
790,522
628,523
721,525
670,525
755,525
813,527
579,529
875,529
906,529
936,534
962,536
1051,536
1093,543
543,545
1211,547
1313,549
1344,550
1236,550
1261,550
316,552
362,552
409,558
1414,556
1446,558
407,558
534,559
1523,559
462,561
151,565
1608,567
1576,567
587,570
609,574
333,578
635,579
361,579
687,580
202,582
701,585
250,588
760,591
902,591
177,595
948,595
988,597
1087,598
802,598
1063,599
436,600
325,603
858,603
1130,605
462,609
1199,609
222,610
1237,614
253,616
1270,616
300,619
1327,619
1296,621
518,621
1351,622
1384,625
546,627
896,627
1617,629
571,633
1450,633
919,634
1496,635
1566,634
1525,638
598,639
974,642
478,644
639,647
1015,649
1053,650
358,652
687,655
1101,658
1136,663
395,665
735,665
1173,666
759,667
815,675
1218,676
839,678
1252,681
454,683
1261,683
582,684
869,685
891,688
900,690
498,694
923,696
1327,696
1379,699
627,700
966,700
1415,702
994,709
1494,708
1056,717
689,719
1084,725
1105,726
1455,728
724,731
594,733
1128,733
1178,741
640,742
1210,749
1416,749
780,751
804,755
1267,755
679,757
828,763
849,767
1345,771
885,778
1300,784
925,785
772,787
964,788
1276,791
1014,795
1057,797
1242,798
845,805
1191,810
884,813
1144,815
924,819
981,826
