Y,Scale,X,IMAGE,ID
883,0.001555,1172,F_ST06C_06.22.11_LT_21.tif,34 
815,0.001555,1431,F_ST06C_06.22.11_LT_21.tif,34 
717,0.001555,1571,F_ST06C_06.22.11_LT_21.tif,34 
648,0.001555,1623,F_ST06C_06.22.11_LT_21.tif,34 
577,0.001555,1645,F_ST06C_06.22.11_LT_21.tif,34 
511,0.001555,1572,F_ST06C_06.22.11_LT_21.tif,34 
459,0.001555,1450,F_ST06C_06.22.11_LT_21.tif,34 
411,0.001555,1281,F_ST06C_06.22.11_LT_21.tif,34 
381,0.001555,1133,F_ST06C_06.22.11_LT_21.tif,34 
617,0.001555,796,F_ST06C_06.22.11_LT_21.tif,34 
754,0.001555,813,F_ST06C_06.22.11_LT_21.tif,34 
798,0.001555,1031,F_ST06C_06.22.11_LT_21.tif,34 
674,0.001555,520,F_ST06C_06.22.11_LT_21.tif,34 
700,0.001555,552,F_ST06C_06.22.11_LT_21.tif,34 
729,0.001555,548,F_ST06C_06.22.11_LT_21.tif,34 
805,0.001555,485,F_ST06C_06.22.11_LT_21.tif,34 
