X,IMAGE,Y,ID,Scale
1129,F_ST06C_06.22.11_LT_23.tif,885,35 ,0.001468
1386,F_ST06C_06.22.11_LT_23.tif,834,35 ,0.001468
1510,F_ST06C_06.22.11_LT_23.tif,757,35 ,0.001468
1578,F_ST06C_06.22.11_LT_23.tif,696,35 ,0.001468
1608,F_ST06C_06.22.11_LT_23.tif,636,35 ,0.001468
1544,F_ST06C_06.22.11_LT_23.tif,569,35 ,0.001468
1429,F_ST06C_06.22.11_LT_23.tif,506,35 ,0.001468
1268,F_ST06C_06.22.11_LT_23.tif,447,35 ,0.001468
1123,F_ST06C_06.22.11_LT_23.tif,411,35 ,0.001468
810,F_ST06C_06.22.11_LT_23.tif,612,35 ,0.001468
816,F_ST06C_06.22.11_LT_23.tif,748,35 ,0.001468
1020,F_ST06C_06.22.11_LT_23.tif,798,35 ,0.001468
506,F_ST06C_06.22.11_LT_23.tif,661,35 ,0.001468
546,F_ST06C_06.22.11_LT_23.tif,690,35 ,0.001468
542,F_ST06C_06.22.11_LT_23.tif,718,35 ,0.001468
482,F_ST06C_06.22.11_LT_23.tif,790,35 ,0.001468
