X,ID,Y,Scale,IMAGE
1143,37 ,911,0.001497,F_ST06C_06.24.11_LT_09.tif
1409,37 ,874,0.001497,F_ST06C_06.24.11_LT_09.tif
1551,37 ,794,0.001497,F_ST06C_06.24.11_LT_09.tif
1614,37 ,731,0.001497,F_ST06C_06.24.11_LT_09.tif
1648,37 ,667,0.001497,F_ST06C_06.24.11_LT_09.tif
1589,37 ,589,0.001497,F_ST06C_06.24.11_LT_09.tif
1476,37 ,509,0.001497,F_ST06C_06.24.11_LT_09.tif
1323,37 ,438,0.001497,F_ST06C_06.24.11_LT_09.tif
1153,37 ,392,0.001497,F_ST06C_06.24.11_LT_09.tif
880,37 ,593,0.001497,F_ST06C_06.24.11_LT_09.tif
830,37 ,740,0.001497,F_ST06C_06.24.11_LT_09.tif
1041,37 ,805,0.001497,F_ST06C_06.24.11_LT_09.tif
556,37 ,634,0.001497,F_ST06C_06.24.11_LT_09.tif
589,37 ,667,0.001497,F_ST06C_06.24.11_LT_09.tif
583,37 ,699,0.001497,F_ST06C_06.24.11_LT_09.tif
499,37 ,772,0.001497,F_ST06C_06.24.11_LT_09.tif
