IMAGE,Scale,Y,X,ID
F_ST09_06.22.11_LT_16.tif,0.001773,939,1080,60 
F_ST09_06.22.11_LT_16.tif,0.001773,895,1394,60 
F_ST09_06.22.11_LT_16.tif,0.001773,823,1509,60 
F_ST09_06.22.11_LT_16.tif,0.001773,755,1564,60 
F_ST09_06.22.11_LT_16.tif,0.001773,693,1589,60 
F_ST09_06.22.11_LT_16.tif,0.001773,614,1531,60 
F_ST09_06.22.11_LT_16.tif,0.001773,552,1420,60 
F_ST09_06.22.11_LT_16.tif,0.001773,498,1280,60 
F_ST09_06.22.11_LT_16.tif,0.001773,450,1119,60 
F_ST09_06.22.11_LT_16.tif,0.001773,639,819,60 
F_ST09_06.22.11_LT_16.tif,0.001773,772,791,60 
F_ST09_06.22.11_LT_16.tif,0.001773,839,998,60 
F_ST09_06.22.11_LT_16.tif,0.001773,666,534,60 
F_ST09_06.22.11_LT_16.tif,0.001773,700,576,60 
F_ST09_06.22.11_LT_16.tif,0.001773,729,576,60 
F_ST09_06.22.11_LT_16.tif,0.001773,796,467,60 
