IMAGE,ID,X,Y,Scale
F_ST09_07.21.11_LT_04.tif,66 ,1842,1233,0.001163
F_ST09_07.21.11_LT_04.tif,66 ,2243,1176,0.001163
F_ST09_07.21.11_LT_04.tif,66 ,2393,1083,0.001163
F_ST09_07.21.11_LT_04.tif,66 ,2458,999,0.001163
F_ST09_07.21.11_LT_04.tif,66 ,2485,925,0.001163
F_ST09_07.21.11_LT_04.tif,66 ,2421,845,0.001163
F_ST09_07.21.11_LT_04.tif,66 ,2298,768,0.001163
F_ST09_07.21.11_LT_04.tif,66 ,2115,682,0.001163
F_ST09_07.21.11_LT_04.tif,66 ,1885,598,0.001163
F_ST09_07.21.11_LT_04.tif,66 ,1412,843,0.001163
F_ST09_07.21.11_LT_04.tif,66 ,1373,1011,0.001163
F_ST09_07.21.11_LT_04.tif,66 ,1618,1089,0.001163
F_ST09_07.21.11_LT_04.tif,66 ,958,884,0.001163
F_ST09_07.21.11_LT_04.tif,66 ,1011,919,0.001163
F_ST09_07.21.11_LT_04.tif,66 ,1005,953,0.001163
F_ST09_07.21.11_LT_04.tif,66 ,912,1052,0.001163
