Scale,IMAGE,X,ID,Y
0.001527,F_ST11a_06.22.11_LT_H_11.tif,1184,76 ,858
0.001527,F_ST11a_06.22.11_LT_H_11.tif,1485,76 ,794
0.001527,F_ST11a_06.22.11_LT_H_11.tif,1591,76 ,710
0.001527,F_ST11a_06.22.11_LT_H_11.tif,1636,76 ,645
0.001527,F_ST11a_06.22.11_LT_H_11.tif,1659,76 ,584
0.001527,F_ST11a_06.22.11_LT_H_11.tif,1591,76 ,511
0.001527,F_ST11a_06.22.11_LT_H_11.tif,1471,76 ,435
0.001527,F_ST11a_06.22.11_LT_H_11.tif,1330,76 ,377
0.001527,F_ST11a_06.22.11_LT_H_11.tif,1161,76 ,327
0.001527,F_ST11a_06.22.11_LT_H_11.tif,800,76 ,549
0.001527,F_ST11a_06.22.11_LT_H_11.tif,800,76 ,693
0.001527,F_ST11a_06.22.11_LT_H_11.tif,1018,76 ,749
0.001527,F_ST11a_06.22.11_LT_H_11.tif,491,76 ,605
0.001527,F_ST11a_06.22.11_LT_H_11.tif,520,76 ,632
0.001527,F_ST11a_06.22.11_LT_H_11.tif,516,76 ,664
0.001527,F_ST11a_06.22.11_LT_H_11.tif,471,76 ,748
