Y,ID,Scale,IMAGE,X
918,77 ,0.001527,F_ST11a_06.22.11_LT_H_12.tif,1153
867,77 ,0.001527,F_ST11a_06.22.11_LT_H_12.tif,1433
785,77 ,0.001527,F_ST11a_06.22.11_LT_H_12.tif,1562
717,77 ,0.001527,F_ST11a_06.22.11_LT_H_12.tif,1619
652,77 ,0.001527,F_ST11a_06.22.11_LT_H_12.tif,1651
576,77 ,0.001527,F_ST11a_06.22.11_LT_H_12.tif,1584
499,77 ,0.001527,F_ST11a_06.22.11_LT_H_12.tif,1461
431,77 ,0.001527,F_ST11a_06.22.11_LT_H_12.tif,1305
386,77 ,0.001527,F_ST11a_06.22.11_LT_H_12.tif,1147
611,77 ,0.001527,F_ST11a_06.22.11_LT_H_12.tif,844
758,77 ,0.001527,F_ST11a_06.22.11_LT_H_12.tif,829
819,77 ,0.001527,F_ST11a_06.22.11_LT_H_12.tif,1055
664,77 ,0.001527,F_ST11a_06.22.11_LT_H_12.tif,550
690,77 ,0.001527,F_ST11a_06.22.11_LT_H_12.tif,579
725,77 ,0.001527,F_ST11a_06.22.11_LT_H_12.tif,576
805,77 ,0.001527,F_ST11a_06.22.11_LT_H_12.tif,494
