Y,ID,Scale,X,IMAGE
931,78 ,0.001548,1136,F_ST11a_06.22.11_LT_H_14.tif
886,78 ,0.001548,1439,F_ST11a_06.22.11_LT_H_14.tif
790,78 ,0.001548,1592,F_ST11a_06.22.11_LT_H_14.tif
721,78 ,0.001548,1653,F_ST11a_06.22.11_LT_H_14.tif
653,78 ,0.001548,1687,F_ST11a_06.22.11_LT_H_14.tif
579,78 ,0.001548,1618,F_ST11a_06.22.11_LT_H_14.tif
503,78 ,0.001548,1489,F_ST11a_06.22.11_LT_H_14.tif
428,78 ,0.001548,1322,F_ST11a_06.22.11_LT_H_14.tif
378,78 ,0.001548,1164,F_ST11a_06.22.11_LT_H_14.tif
592,78 ,0.001548,809,F_ST11a_06.22.11_LT_H_14.tif
744,78 ,0.001548,790,F_ST11a_06.22.11_LT_H_14.tif
814,78 ,0.001548,1015,F_ST11a_06.22.11_LT_H_14.tif
637,78 ,0.001548,502,F_ST11a_06.22.11_LT_H_14.tif
667,78 ,0.001548,531,F_ST11a_06.22.11_LT_H_14.tif
700,78 ,0.001548,527,F_ST11a_06.22.11_LT_H_14.tif
777,78 ,0.001548,445,F_ST11a_06.22.11_LT_H_14.tif
