ID,Scale,IMAGE,Y,X
80 ,0.001541,F_ST11a_06.22.11_LT_H_18.tif,821,1168
80 ,0.001541,F_ST11a_06.22.11_LT_H_18.tif,780,1450
80 ,0.001541,F_ST11a_06.22.11_LT_H_18.tif,700,1571
80 ,0.001541,F_ST11a_06.22.11_LT_H_18.tif,636,1622
80 ,0.001541,F_ST11a_06.22.11_LT_H_18.tif,572,1649
80 ,0.001541,F_ST11a_06.22.11_LT_H_18.tif,499,1594
80 ,0.001541,F_ST11a_06.22.11_LT_H_18.tif,426,1491
80 ,0.001541,F_ST11a_06.22.11_LT_H_18.tif,361,1357
80 ,0.001541,F_ST11a_06.22.11_LT_H_18.tif,306,1215
80 ,0.001541,F_ST11a_06.22.11_LT_H_18.tif,483,864
80 ,0.001541,F_ST11a_06.22.11_LT_H_18.tif,625,833
80 ,0.001541,F_ST11a_06.22.11_LT_H_18.tif,698,1020
80 ,0.001541,F_ST11a_06.22.11_LT_H_18.tif,504,558
80 ,0.001541,F_ST11a_06.22.11_LT_H_18.tif,534,584
80 ,0.001541,F_ST11a_06.22.11_LT_H_18.tif,567,579
80 ,0.001541,F_ST11a_06.22.11_LT_H_18.tif,628,493
