Y,Scale,IMAGE,X,ID
867,0.001678,F_ST03_06.22.11_LT_02.tif,1230,1 
808,0.001678,F_ST03_06.22.11_LT_02.tif,1511,1 
726,0.001678,F_ST03_06.22.11_LT_02.tif,1620,1 
666,0.001678,F_ST03_06.22.11_LT_02.tif,1663,1 
608,0.001678,F_ST03_06.22.11_LT_02.tif,1685,1 
546,0.001678,F_ST03_06.22.11_LT_02.tif,1625,1 
484,0.001678,F_ST03_06.22.11_LT_02.tif,1522,1 
425,0.001678,F_ST03_06.22.11_LT_02.tif,1369,1 
381,0.001678,F_ST03_06.22.11_LT_02.tif,1213,1 
576,0.001678,F_ST03_06.22.11_LT_02.tif,888,1 
707,0.001678,F_ST03_06.22.11_LT_02.tif,899,1 
765,0.001678,F_ST03_06.22.11_LT_02.tif,1097,1 
613,0.001678,F_ST03_06.22.11_LT_02.tif,594,1 
641,0.001678,F_ST03_06.22.11_LT_02.tif,627,1 
670,0.001678,F_ST03_06.22.11_LT_02.tif,622,1 
741,0.001678,F_ST03_06.22.11_LT_02.tif,570,1 
