X,Y,Scale,IMAGE,ID
1126,880,0.001623,F_ST04_06.22.11_LT_05.tif,11 
1399,850,0.001623,F_ST04_06.22.11_LT_05.tif,11 
1547,778,0.001623,F_ST04_06.22.11_LT_05.tif,11 
1605,721,0.001623,F_ST04_06.22.11_LT_05.tif,11 
1642,663,0.001623,F_ST04_06.22.11_LT_05.tif,11 
1589,594,0.001623,F_ST04_06.22.11_LT_05.tif,11 
1473,506,0.001623,F_ST04_06.22.11_LT_05.tif,11 
1331,429,0.001623,F_ST04_06.22.11_LT_05.tif,11 
1153,364,0.001623,F_ST04_06.22.11_LT_05.tif,11 
829,565,0.001623,F_ST04_06.22.11_LT_05.tif,11 
817,701,0.001623,F_ST04_06.22.11_LT_05.tif,11 
1008,771,0.001623,F_ST04_06.22.11_LT_05.tif,11 
539,601,0.001623,F_ST04_06.22.11_LT_05.tif,11 
570,628,0.001623,F_ST04_06.22.11_LT_05.tif,11 
565,658,0.001623,F_ST04_06.22.11_LT_05.tif,11 
513,729,0.001623,F_ST04_06.22.11_LT_05.tif,11 
