ID,X,IMAGE,Y,Scale
14 ,1141,F_ST04_06.22.11_LT_12.tif,935,0.00158
14 ,1419,F_ST04_06.22.11_LT_12.tif,907,0.00158
14 ,1548,F_ST04_06.22.11_LT_12.tif,835,0.00158
14 ,1614,F_ST04_06.22.11_LT_12.tif,772,0.00158
14 ,1642,F_ST04_06.22.11_LT_12.tif,714,0.00158
14 ,1594,F_ST04_06.22.11_LT_12.tif,643,0.00158
14 ,1475,F_ST04_06.22.11_LT_12.tif,553,0.00158
14 ,1337,F_ST04_06.22.11_LT_12.tif,480,0.00158
14 ,1184,F_ST04_06.22.11_LT_12.tif,423,0.00158
14 ,858,F_ST04_06.22.11_LT_12.tif,596,0.00158
14 ,816,F_ST04_06.22.11_LT_12.tif,734,0.00158
14 ,1012,F_ST04_06.22.11_LT_12.tif,814,0.00158
14 ,536,F_ST04_06.22.11_LT_12.tif,611,0.00158
14 ,571,F_ST04_06.22.11_LT_12.tif,644,0.00158
14 ,562,F_ST04_06.22.11_LT_12.tif,672,0.00158
14 ,499,F_ST04_06.22.11_LT_12.tif,738,0.00158
