Y,Scale,IMAGE,ID,X
1011,0.001577,F_ST04_06.22.11_LT_14.tif,16 ,1250
960,0.001577,F_ST04_06.22.11_LT_14.tif,16 ,1493
895,0.001577,F_ST04_06.22.11_LT_14.tif,16 ,1595
833,0.001577,F_ST04_06.22.11_LT_14.tif,16 ,1644
769,0.001577,F_ST04_06.22.11_LT_14.tif,16 ,1672
697,0.001577,F_ST04_06.22.11_LT_14.tif,16 ,1615
625,0.001577,F_ST04_06.22.11_LT_14.tif,16 ,1519
563,0.001577,F_ST04_06.22.11_LT_14.tif,16 ,1391
512,0.001577,F_ST04_06.22.11_LT_14.tif,16 ,1241
705,0.001577,F_ST04_06.22.11_LT_14.tif,16 ,922
843,0.001577,F_ST04_06.22.11_LT_14.tif,16 ,906
905,0.001577,F_ST04_06.22.11_LT_14.tif,16 ,1129
742,0.001577,F_ST04_06.22.11_LT_14.tif,16 ,620
770,0.001577,F_ST04_06.22.11_LT_14.tif,16 ,649
799,0.001577,F_ST04_06.22.11_LT_14.tif,16 ,644
870,0.001577,F_ST04_06.22.11_LT_14.tif,16 ,578
