Y,IMAGE,ID,X,Scale
898,F_ST04_06.22.11_LT_15.tif,17 ,1219,0.00158
826,F_ST04_06.22.11_LT_15.tif,17 ,1513,0.00158
751,F_ST04_06.22.11_LT_15.tif,17 ,1605,0.00158
683,F_ST04_06.22.11_LT_15.tif,17 ,1653,0.00158
620,F_ST04_06.22.11_LT_15.tif,17 ,1678,0.00158
551,F_ST04_06.22.11_LT_15.tif,17 ,1599,0.00158
490,F_ST04_06.22.11_LT_15.tif,17 ,1485,0.00158
431,F_ST04_06.22.11_LT_15.tif,17 ,1348,0.00158
389,F_ST04_06.22.11_LT_15.tif,17 ,1169,0.00158
604,F_ST04_06.22.11_LT_15.tif,17 ,868,0.00158
743,F_ST04_06.22.11_LT_15.tif,17 ,858,0.00158
794,F_ST04_06.22.11_LT_15.tif,17 ,1061,0.00158
661,F_ST04_06.22.11_LT_15.tif,17 ,543,0.00158
688,F_ST04_06.22.11_LT_15.tif,17 ,581,0.00158
722,F_ST04_06.22.11_LT_15.tif,17 ,583,0.00158
792,F_ST04_06.22.11_LT_15.tif,17 ,511,0.00158
