Y,Scale,ID,IMAGE,X
890,0.001495,25 ,F_ST06C_06.22.11_LT_03.tif,1124
862,0.001495,25 ,F_ST06C_06.22.11_LT_03.tif,1374
776,0.001495,25 ,F_ST06C_06.22.11_LT_03.tif,1550
714,0.001495,25 ,F_ST06C_06.22.11_LT_03.tif,1615
653,0.001495,25 ,F_ST06C_06.22.11_LT_03.tif,1643
577,0.001495,25 ,F_ST06C_06.22.11_LT_03.tif,1567
499,0.001495,25 ,F_ST06C_06.22.11_LT_03.tif,1427
444,0.001495,25 ,F_ST06C_06.22.11_LT_03.tif,1296
394,0.001495,25 ,F_ST06C_06.22.11_LT_03.tif,1155
581,0.001495,25 ,F_ST06C_06.22.11_LT_03.tif,824
717,0.001495,25 ,F_ST06C_06.22.11_LT_03.tif,789
784,0.001495,25 ,F_ST06C_06.22.11_LT_03.tif,1000
613,0.001495,25 ,F_ST06C_06.22.11_LT_03.tif,499
641,0.001495,25 ,F_ST06C_06.22.11_LT_03.tif,538
673,0.001495,25 ,F_ST06C_06.22.11_LT_03.tif,530
745,0.001495,25 ,F_ST06C_06.22.11_LT_03.tif,473
