X,Y,IMAGE,ID,Scale
1131,927,F_ST06C_06.22.11_LT_04.tif,26 ,0.001553
1430,871,F_ST06C_06.22.11_LT_04.tif,26 ,0.001553
1568,781,F_ST06C_06.22.11_LT_04.tif,26 ,0.001553
1611,726,F_ST06C_06.22.11_LT_04.tif,26 ,0.001553
1641,663,F_ST06C_06.22.11_LT_04.tif,26 ,0.001553
1580,584,F_ST06C_06.22.11_LT_04.tif,26 ,0.001553
1461,506,F_ST06C_06.22.11_LT_04.tif,26 ,0.001553
1308,442,F_ST06C_06.22.11_LT_04.tif,26 ,0.001553
1147,386,F_ST06C_06.22.11_LT_04.tif,26 ,0.001553
781,596,F_ST06C_06.22.11_LT_04.tif,26 ,0.001553
752,741,F_ST06C_06.22.11_LT_04.tif,26 ,0.001553
982,810,F_ST06C_06.22.11_LT_04.tif,26 ,0.001553
465,636,F_ST06C_06.22.11_LT_04.tif,26 ,0.001553
499,667,F_ST06C_06.22.11_LT_04.tif,26 ,0.001553
495,704,F_ST06C_06.22.11_LT_04.tif,26 ,0.001553
411,777,F_ST06C_06.22.11_LT_04.tif,26 ,0.001553
