Scale,X,IMAGE,ID,Y
0.001553,1180,F_ST06C_06.22.11_LT_06.tif,27 ,796
0.001553,1450,F_ST06C_06.22.11_LT_06.tif,27 ,752
0.001553,1566,F_ST06C_06.22.11_LT_06.tif,27 ,680
0.001553,1622,F_ST06C_06.22.11_LT_06.tif,27 ,620
0.001553,1644,F_ST06C_06.22.11_LT_06.tif,27 ,564
0.001553,1588,F_ST06C_06.22.11_LT_06.tif,27 ,496
0.001553,1481,F_ST06C_06.22.11_LT_06.tif,27 ,434
0.001553,1328,F_ST06C_06.22.11_LT_06.tif,27 ,375
0.001553,1164,F_ST06C_06.22.11_LT_06.tif,27 ,339
0.001553,905,F_ST06C_06.22.11_LT_06.tif,27 ,514
0.001553,868,F_ST06C_06.22.11_LT_06.tif,27 ,644
0.001553,1072,F_ST06C_06.22.11_LT_06.tif,27 ,702
0.001553,596,F_ST06C_06.22.11_LT_06.tif,27 ,557
0.001553,625,F_ST06C_06.22.11_LT_06.tif,27 ,584
0.001553,623,F_ST06C_06.22.11_LT_06.tif,27 ,612
0.001553,560,F_ST06C_06.22.11_LT_06.tif,27 ,676
