Scale,Y,X,ID,IMAGE
0.001506,792,1106,30 ,F_ST06C_06.22.11_LT_13.tif
0.001506,749,1370,30 ,F_ST06C_06.22.11_LT_13.tif
0.001506,665,1518,30 ,F_ST06C_06.22.11_LT_13.tif
0.001506,599,1582,30 ,F_ST06C_06.22.11_LT_13.tif
0.001506,534,1614,30 ,F_ST06C_06.22.11_LT_13.tif
0.001506,463,1536,30 ,F_ST06C_06.22.11_LT_13.tif
0.001506,394,1409,30 ,F_ST06C_06.22.11_LT_13.tif
0.001506,338,1244,30 ,F_ST06C_06.22.11_LT_13.tif
0.001506,302,1064,30 ,F_ST06C_06.22.11_LT_13.tif
0.001506,511,760,30 ,F_ST06C_06.22.11_LT_13.tif
0.001506,637,754,30 ,F_ST06C_06.22.11_LT_13.tif
0.001506,693,963,30 ,F_ST06C_06.22.11_LT_13.tif
0.001506,555,479,30 ,F_ST06C_06.22.11_LT_13.tif
0.001506,580,514,30 ,F_ST06C_06.22.11_LT_13.tif
0.001506,609,512,30 ,F_ST06C_06.22.11_LT_13.tif
0.001506,677,437,30 ,F_ST06C_06.22.11_LT_13.tif
