Scale,Y,ID,X,IMAGE
0.001508,942,31 ,1211,F_ST06C_06.22.11_LT_14.tif
0.001508,911,31 ,1465,F_ST06C_06.22.11_LT_14.tif
0.001508,845,31 ,1598,F_ST06C_06.22.11_LT_14.tif
0.001508,782,31 ,1661,F_ST06C_06.22.11_LT_14.tif
0.001508,725,31 ,1692,F_ST06C_06.22.11_LT_14.tif
0.001508,652,31 ,1635,F_ST06C_06.22.11_LT_14.tif
0.001508,579,31 ,1531,F_ST06C_06.22.11_LT_14.tif
0.001508,515,31 ,1385,F_ST06C_06.22.11_LT_14.tif
0.001508,459,31 ,1232,F_ST06C_06.22.11_LT_14.tif
0.001508,629,31 ,899,F_ST06C_06.22.11_LT_14.tif
0.001508,765,31 ,874,F_ST06C_06.22.11_LT_14.tif
0.001508,834,31 ,1087,F_ST06C_06.22.11_LT_14.tif
0.001508,659,31 ,570,F_ST06C_06.22.11_LT_14.tif
0.001508,686,31 ,602,F_ST06C_06.22.11_LT_14.tif
0.001508,716,31 ,599,F_ST06C_06.22.11_LT_14.tif
0.001508,790,31 ,530,F_ST06C_06.22.11_LT_14.tif
