IMAGE,Scale,X,Y,ID
F_ST06C_06.22.11_LT_19.tif,0.001506,1169,851,32 
F_ST06C_06.22.11_LT_19.tif,0.001506,1425,805,32 
F_ST06C_06.22.11_LT_19.tif,0.001506,1550,725,32 
F_ST06C_06.22.11_LT_19.tif,0.001506,1605,656,32 
F_ST06C_06.22.11_LT_19.tif,0.001506,1634,589,32 
F_ST06C_06.22.11_LT_19.tif,0.001506,1572,514,32 
F_ST06C_06.22.11_LT_19.tif,0.001506,1459,441,32 
F_ST06C_06.22.11_LT_19.tif,0.001506,1314,383,32 
F_ST06C_06.22.11_LT_19.tif,0.001506,1172,339,32 
F_ST06C_06.22.11_LT_19.tif,0.001506,850,551,32 
F_ST06C_06.22.11_LT_19.tif,0.001506,833,694,32 
F_ST06C_06.22.11_LT_19.tif,0.001506,1046,754,32 
F_ST06C_06.22.11_LT_19.tif,0.001506,561,595,32 
F_ST06C_06.22.11_LT_19.tif,0.001506,594,630,32 
F_ST06C_06.22.11_LT_19.tif,0.001506,596,656,32 
F_ST06C_06.22.11_LT_19.tif,0.001506,517,729,32 
