Scale,ID,IMAGE,Y,X
0.001603,56 ,F_ST09_06.22.11_LT_03.tif,825,1207
0.001603,56 ,F_ST09_06.22.11_LT_03.tif,793,1470
0.001603,56 ,F_ST09_06.22.11_LT_03.tif,726,1582
0.001603,56 ,F_ST09_06.22.11_LT_03.tif,669,1635
0.001603,56 ,F_ST09_06.22.11_LT_03.tif,615,1661
0.001603,56 ,F_ST09_06.22.11_LT_03.tif,549,1602
0.001603,56 ,F_ST09_06.22.11_LT_03.tif,487,1502
0.001603,56 ,F_ST09_06.22.11_LT_03.tif,431,1354
0.001603,56 ,F_ST09_06.22.11_LT_03.tif,383,1216
0.001603,56 ,F_ST09_06.22.11_LT_03.tif,546,933
0.001603,56 ,F_ST09_06.22.11_LT_03.tif,673,930
0.001603,56 ,F_ST09_06.22.11_LT_03.tif,732,1108
0.001603,56 ,F_ST09_06.22.11_LT_03.tif,572,633
0.001603,56 ,F_ST09_06.22.11_LT_03.tif,599,665
0.001603,56 ,F_ST09_06.22.11_LT_03.tif,623,661
0.001603,56 ,F_ST09_06.22.11_LT_03.tif,686,576
