X,Y,ID,IMAGE,Scale
1148,847,57 ,F_ST09_06.22.11_LT_05.tif,0.001642
1451,790,57 ,F_ST09_06.22.11_LT_05.tif,0.001642
1564,714,57 ,F_ST09_06.22.11_LT_05.tif,0.001642
1622,645,57 ,F_ST09_06.22.11_LT_05.tif,0.001642
1644,583,57 ,F_ST09_06.22.11_LT_05.tif,0.001642
1579,515,57 ,F_ST09_06.22.11_LT_05.tif,0.001642
1470,438,57 ,F_ST09_06.22.11_LT_05.tif,0.001642
1337,371,57 ,F_ST09_06.22.11_LT_05.tif,0.001642
1181,314,57 ,F_ST09_06.22.11_LT_05.tif,0.001642
802,527,57 ,F_ST09_06.22.11_LT_05.tif,0.001642
789,667,57 ,F_ST09_06.22.11_LT_05.tif,0.001642
1000,733,57 ,F_ST09_06.22.11_LT_05.tif,0.001642
502,564,57 ,F_ST09_06.22.11_LT_05.tif,0.001642
536,593,57 ,F_ST09_06.22.11_LT_05.tif,0.001642
532,623,57 ,F_ST09_06.22.11_LT_05.tif,0.001642
455,701,57 ,F_ST09_06.22.11_LT_05.tif,0.001642
