IMAGE,X,Scale,Y,ID
F_ST09_06.22.11_LT_07.tif,1189,0.001629,968,58 
F_ST09_06.22.11_LT_07.tif,1478,0.001629,936,58 
F_ST09_06.22.11_LT_07.tif,1592,0.001629,875,58 
F_ST09_06.22.11_LT_07.tif,1656,0.001629,817,58 
F_ST09_06.22.11_LT_07.tif,1687,0.001629,752,58 
F_ST09_06.22.11_LT_07.tif,1637,0.001629,690,58 
F_ST09_06.22.11_LT_07.tif,1538,0.001629,612,58 
F_ST09_06.22.11_LT_07.tif,1389,0.001629,538,58 
F_ST09_06.22.11_LT_07.tif,1253,0.001629,480,58 
F_ST09_06.22.11_LT_07.tif,898,0.001629,640,58 
F_ST09_06.22.11_LT_07.tif,877,0.001629,777,58 
F_ST09_06.22.11_LT_07.tif,1064,0.001629,853,58 
F_ST09_06.22.11_LT_07.tif,594,0.001629,652,58 
F_ST09_06.22.11_LT_07.tif,636,0.001629,686,58 
F_ST09_06.22.11_LT_07.tif,629,0.001629,713,58 
F_ST09_06.22.11_LT_07.tif,551,0.001629,778,58 
