Y,ID,X,IMAGE,Scale
892,62 ,1210,F_ST09_06.22.11_LT_18.tif,0.001522
824,62 ,1487,F_ST09_06.22.11_LT_18.tif,0.001522
740,62 ,1604,F_ST09_06.22.11_LT_18.tif,0.001522
680,62 ,1648,F_ST09_06.22.11_LT_18.tif,0.001522
619,62 ,1668,F_ST09_06.22.11_LT_18.tif,0.001522
549,62 ,1612,F_ST09_06.22.11_LT_18.tif,0.001522
482,62 ,1503,F_ST09_06.22.11_LT_18.tif,0.001522
422,62 ,1373,F_ST09_06.22.11_LT_18.tif,0.001522
377,62 ,1204,F_ST09_06.22.11_LT_18.tif,0.001522
595,62 ,842,F_ST09_06.22.11_LT_18.tif,0.001522
737,62 ,847,F_ST09_06.22.11_LT_18.tif,0.001522
789,62 ,1052,F_ST09_06.22.11_LT_18.tif,0.001522
647,62 ,539,F_ST09_06.22.11_LT_18.tif,0.001522
675,62 ,567,F_ST09_06.22.11_LT_18.tif,0.001522
706,62 ,556,F_ST09_06.22.11_LT_18.tif,0.001522
782,62 ,488,F_ST09_06.22.11_LT_18.tif,0.001522
