Scale,ID,X,Y,IMAGE
0.001546,64 ,1124,895,F_ST09_06.22.11_LT_24.tif
0.001546,64 ,1428,848,F_ST09_06.22.11_LT_24.tif
0.001546,64 ,1571,766,F_ST09_06.22.11_LT_24.tif
0.001546,64 ,1620,693,F_ST09_06.22.11_LT_24.tif
0.001546,64 ,1643,633,F_ST09_06.22.11_LT_24.tif
0.001546,64 ,1586,567,F_ST09_06.22.11_LT_24.tif
0.001546,64 ,1471,495,F_ST09_06.22.11_LT_24.tif
0.001546,64 ,1318,416,F_ST09_06.22.11_LT_24.tif
0.001546,64 ,1149,367,F_ST09_06.22.11_LT_24.tif
0.001546,64 ,826,582,F_ST09_06.22.11_LT_24.tif
0.001546,64 ,815,725,F_ST09_06.22.11_LT_24.tif
0.001546,64 ,1026,791,F_ST09_06.22.11_LT_24.tif
0.001546,64 ,499,626,F_ST09_06.22.11_LT_24.tif
0.001546,64 ,543,655,F_ST09_06.22.11_LT_24.tif
0.001546,64 ,537,684,F_ST09_06.22.11_LT_24.tif
0.001546,64 ,467,756,F_ST09_06.22.11_LT_24.tif
