Scale,X,ID,IMAGE,Y
0.001389,1137,72 ,F_ST10_08.30.11_LT_01.tif,976
0.001389,1431,72 ,F_ST10_08.30.11_LT_01.tif,930
0.001389,1590,72 ,F_ST10_08.30.11_LT_01.tif,847
0.001389,1665,72 ,F_ST10_08.30.11_LT_01.tif,768
0.001389,1699,72 ,F_ST10_08.30.11_LT_01.tif,702
0.001389,1628,72 ,F_ST10_08.30.11_LT_01.tif,625
0.001389,1497,72 ,F_ST10_08.30.11_LT_01.tif,542
0.001389,1321,72 ,F_ST10_08.30.11_LT_01.tif,463
0.001389,1140,72 ,F_ST10_08.30.11_LT_01.tif,409
0.001389,817,72 ,F_ST10_08.30.11_LT_01.tif,624
0.001389,757,72 ,F_ST10_08.30.11_LT_01.tif,784
0.001389,1036,72 ,F_ST10_08.30.11_LT_01.tif,862
0.001389,433,72 ,F_ST10_08.30.11_LT_01.tif,667
0.001389,481,72 ,F_ST10_08.30.11_LT_01.tif,704
0.001389,477,72 ,F_ST10_08.30.11_LT_01.tif,736
0.001389,390,72 ,F_ST10_08.30.11_LT_01.tif,815
