Y,IMAGE,X,ID,Scale
906,F_ST11a_06.22.11_LT_H_04.tif,1172,74 ,0.001441
846,F_ST11a_06.22.11_LT_H_04.tif,1460,74 ,0.001441
757,F_ST11a_06.22.11_LT_H_04.tif,1596,74 ,0.001441
683,F_ST11a_06.22.11_LT_H_04.tif,1655,74 ,0.001441
608,F_ST11a_06.22.11_LT_H_04.tif,1680,74 ,0.001441
529,F_ST11a_06.22.11_LT_H_04.tif,1618,74 ,0.001441
454,F_ST11a_06.22.11_LT_H_04.tif,1497,74 ,0.001441
386,F_ST11a_06.22.11_LT_H_04.tif,1339,74 ,0.001441
336,F_ST11a_06.22.11_LT_H_04.tif,1144,74 ,0.001441
569,F_ST11a_06.22.11_LT_H_04.tif,815,74 ,0.001441
734,F_ST11a_06.22.11_LT_H_04.tif,796,74 ,0.001441
797,F_ST11a_06.22.11_LT_H_04.tif,1043,74 ,0.001441
628,F_ST11a_06.22.11_LT_H_04.tif,473,74 ,0.001441
661,F_ST11a_06.22.11_LT_H_04.tif,517,74 ,0.001441
693,F_ST11a_06.22.11_LT_H_04.tif,510,74 ,0.001441
779,F_ST11a_06.22.11_LT_H_04.tif,428,74 ,0.001441
