X,Y
1281,348
1244,354
1277,359
1317,357
1342,362
1143,364
1394,379
846,397
1313,401
1341,401
1400,402
1050,407
800,413
1540,415
935,435
1554,464
1015,480
774,483
1217,487
1587,488
1617,523
1516,532
1411,534
1344,538
482,547
1266,549
1222,553
1166,557
289,560
818,561
397,568
372,572
1644,583
709,593
1406,595
1376,598
418,598
1555,598
1354,600
1287,609
632,610
1166,614
1115,614
88,615
1080,618
814,626
565,627
765,634
117,640
307,643
388,647
572,653
1529,662
1456,669
1434,670
90,675
1009,680
167,682
218,683
539,683
354,687
140,696
717,698
730,699
780,699
859,701
825,711
362,717
392,718
197,721
1104,732
1245,736
1273,737
368,743
555,747
563,751
345,766
821,770
859,776
374,777
886,778
424,791
1026,794
1097,795
1122,801
1189,877
1043,878
761,880
1116,895
865,898
955,907
