X,Y
1162,459
1130,468
1074,476
1046,480
1004,488
1302,500
1170,505
1202,503
1353,504
1393,505
1092,519
741,530
1517,533
1046,543
653,545
306,546
1014,547
276,548
254,550
205,557
1110,559
932,563
1248,563
1188,564
1141,565
1380,568
1405,568
1456,569
1499,575
1535,578
506,579
482,587
439,594
368,606
805,611
759,614
863,614
268,618
738,621
894,620
1007,622
232,623
1243,628
655,629
1148,629
1368,631
1608,630
1194,632
1325,632
628,636
1425,638
1462,640
487,642
1540,642
1581,646
443,647
409,649
372,652
597,662
671,664
750,664
790,670
862,674
958,680
1028,680
1049,680
1091,683
1158,688
346,688
1291,691
1318,692
1239,692
411,694
447,695
1264,694
1441,696
500,700
567,700
537,702
1495,703
1640,708
617,712
648,716
683,719
719,725
260,727
418,728
278,730
960,736
864,737
357,739
301,740
327,741
812,742
474,743
1010,743
1035,743
1082,745
1150,751
409,753
529,756
1192,755
244,756
1243,756
273,759
551,760
1305,762
1336,765
888,766
1371,767
297,769
1398,768
1436,770
912,774
614,778
955,780
1589,779
358,787
385,794
697,796
740,799
1064,801
431,804
1099,804
1137,811
814,816
595,816
1188,818
459,820
848,821
1210,822
1256,823
635,830
893,830
1290,831
1342,837
933,838
1366,838
1400,839
1425,840
664,843
960,844
984,850
1015,855
693,857
584,860
1046,860
1460,860
600,866
1112,873
1402,887
1186,887
1231,896
1284,898
1366,902
838,907
1320,916
781,928
931,929
991,936
1022,938
1064,939
1249,941
1133,947
1170,956
922,961
995,969
1094,976
1050,977
