X,Y
1348,232
1032,255
1432,256
1286,275
1379,275
1021,280
1126,279
1190,284
1150,285
1213,286
1403,287
1064,287
1104,288
1347,290
1251,290
1315,293
994,295
841,296
970,296
803,300
946,306
896,307
1095,313
1424,317
1472,319
850,321
822,325
1067,326
1173,327
758,336
1030,336
1361,336
1298,345
1480,344
677,347
1242,347
1331,348
1218,348
967,350
1363,350
642,354
1414,355
930,358
1137,360
1113,363
1526,364
888,368
1101,369
851,371
570,373
1077,373
826,376
1551,378
1038,383
1572,390
491,392
1011,393
458,396
713,400
1000,400
699,403
418,407
406,408
677,409
1596,411
974,413
1556,418
637,419
1466,421
1522,421
1411,423
1647,426
948,429
1296,428
1239,429
1169,429
1198,431
1328,430
1361,430
567,432
284,435
543,435
250,438
899,442
531,443
997,445
1093,446
1130,446
1048,449
483,451
185,452
160,455
447,461
804,465
93,469
103,469
59,472
388,475
35,478
297,478
760,479
357,479
1661,487
197,490
1542,490
1516,494
158,495
714,498
116,503
86,504
1382,507
1327,511
252,515
1267,518
1304,517
35,518
1695,518
675,520
209,525
871,528
949,528
922,530
722,531
748,532
822,531
796,532
614,534
123,539
580,539
89,545
549,544
42,550
1698,549
491,556
1565,562
435,565
411,567
400,570
1479,569
379,573
1432,573
325,574
1336,577
1399,576
251,578
1373,579
236,581
1304,581
227,583
1184,588
164,588
757,589
140,589
947,589
1146,589
778,591
846,590
1027,590
1119,590
554,591
878,591
645,594
800,593
509,596
457,597
365,622
1643,640
1560,648
1555,650
1435,654
1464,653
1527,653
1353,655
929,656
1212,657
903,657
986,657
1190,658
1308,657
1390,657
1104,658
1235,658
124,659
952,659
1021,659
1078,659
1141,659
162,666
92,669
33,680
1587,689
125,690
290,693
306,697
93,700
159,700
358,709
231,718
424,723
1047,725
1091,726
134,729
1533,730
457,731
286,732
1162,732
1219,736
1461,735
487,737
1409,739
1347,740
536,744
327,745
586,751
618,753
172,754
642,755
1495,756
674,759
199,762
715,766
409,767
226,768
773,773
1460,777
436,779
851,780
294,786
888,789
934,793
323,794
968,797
352,804
1091,806
537,810
1175,813
1197,814
1245,818
412,822
588,829
1338,831
459,838
619,839
486,849
682,852
1266,863
559,870
1238,875
857,881
832,882
613,884
882,884
1000,887
895,886
919,887
1049,887
1086,887
1127,887
1207,888
1023,890
1182,895
674,898
1153,898
712,904
749,914
1076,915
823,921
1054,920
852,922
914,927
1020,926
