X,Y
993,385
1106,385
921,392
811,406
1165,407
1131,418
1112,420
692,422
713,422
1085,425
1046,428
627,430
1019,433
590,437
550,444
905,444
526,448
882,451
467,455
450,462
785,465
726,469
1085,477
343,478
656,482
315,482
275,487
254,490
595,490
221,493
564,495
166,499
191,499
1045,499
535,501
398,503
128,505
977,507
95,508
950,511
62,514
466,517
925,518
432,520
897,524
406,532
236,533
1414,535
1474,538
1526,542
1578,544
1560,545
105,550
818,550
324,552
58,556
796,562
760,566
220,572
832,577
106,581
691,581
60,582
890,584
641,586
986,590
933,592
226,595
1126,600
1172,601
453,603
420,605
317,612
1659,610
1542,612
274,615
52,626
647,633
687,633
564,634
592,634
784,639
147,643
806,641
184,643
835,645
857,647
887,648
498,648
911,648
947,649
984,651
250,658
292,658
1066,660
1093,661
337,663
363,664
1262,666
1238,669
89,677
527,682
1683,687
584,688
148,693
261,695
607,693
657,698
633,698
61,701
710,711
928,712
220,713
848,714
889,714
971,715
993,718
791,721
1031,722
162,724
1063,724
816,725
1119,728
1151,728
237,736
1248,736
1656,739
1300,742
1386,746
1410,747
853,747
398,753
885,754
1454,755
902,758
553,760
927,762
584,768
937,768
951,769
1621,774
619,773
976,773
646,778
1034,782
684,784
344,787
702,789
727,792
1597,793
775,797
763,799
837,812
1566,814
888,820
922,826
961,836
1024,848
545,862
1120,868
1137,874
1172,882
1212,890
1263,890
628,891
763,896
1307,896
1335,905
1293,931
772,936
1052,941
1076,943
1146,959
1098,974
